#{"t_start": 1764790684.333374, "env_id": "None"}
r,l,t
-47.0,1,65.251305
7.0,12,65.28357
-47.0,1,65.286454
-47.0,1,65.294366
-47.0,1,65.300078
-47.0,1,65.304066
-44.0,3,65.312981
-44.0,2,65.319364
-47.0,1,65.322944
63.0,46,65.454369
-46.0,1,65.45746
215.0,81,65.795998
-34.0,6,65.841629
122.0,39,65.993534
-28.0,13,66.053837
-46.0,2,66.061865
-47.0,1,66.066351
89.0,32,66.204643
-47.0,1,66.208692
-23.0,7,66.237756
-47.0,1,66.242764
-35.0,4,66.268639
-47.0,1,66.273491
-44.0,2,66.281716
-46.0,1,66.286247
88.0,55,66.508486
-28.0,11,66.550602
-44.0,2,66.560297
-46.0,1,66.565998
90.0,52,66.816042
-46.0,2,66.824098
-47.0,1,66.828243
166.0,49,67.043593
-43.0,4,67.059714
-47.0,1,67.063787
-47.0,1,67.067866
62.0,41,67.2417
-47.0,1,67.246107
178.0,83,67.5795
-47.0,1,67.583567
-10.0,14,67.633325
-47.0,1,67.63723
-39.0,7,67.670319
-47.0,1,67.674748
-38.0,4,67.689361
134.0,43,67.848305
273.0,88,68.248732
-14.0,9,68.289466
-47.0,1,68.293758
-27.0,10,68.345495
-32.0,14,68.398715
-39.0,3,68.418463
-30.0,9,68.462325
34.0,25,68.583957
-29.0,8,68.629042
-32.0,8,68.665501
-34.0,8,68.689602
151.0,57,68.855975
-46.0,2,68.861966
-47.0,1,68.864661
5.0,14,68.900622
-47.0,1,68.903482
365.0,109,69.222021
-47.0,1,69.224753
-46.0,1,69.22743
113.0,37,69.332457
-41.0,3,69.34036
-46.0,1,69.343252
-47.0,1,69.345976
-13.0,15,69.390646
-47.0,1,69.393255
-46.0,2,69.399053
-46.0,2,69.404658
-40.0,6,69.420222
224.0,83,69.655564
-47.0,1,69.665464
-28.0,6,69.68568
-44.0,3,69.695274
-46.0,2,69.701291
-36.0,10,69.730603
39.0,32,69.826757
-23.0,11,69.856539
-29.0,7,69.882011
-47.0,1,69.885065
-47.0,1,69.887877
43.0,24,69.950701
-47.0,1,69.953527
-46.0,1,69.956356
-20.0,9,69.989167
129.0,53,70.152046
-45.0,2,70.157667
-46.0,1,70.160638
-7.0,11,70.194896
176.0,78,70.412708
-42.0,3,70.420505
507.0,204,72.460579
167.0,60,72.624406
-47.0,1,72.627122
-38.0,5,72.640556
-22.0,15,72.686983
115.0,45,72.809123
648.0,178,73.343323
-41.0,4,73.354646
